Date,Births
1949-01,56.92
1949-02,49.67
1949-03,49.63
1949-04,53.84
1949-05,57.49
1949-06,59.94
1949-07,54.51
1949-08,58.28
1949-09,63.46
1949-10,68.68
1949-11,69.3
1949-12,69.72
1950-01,69.88
1950-02,60.99
1950-03,57.48
1950-04,64.84
1950-05,72.92
1950-06,67.25
1950-07,77.81
1950-08,74.96
1950-09,81.57
1950-10,87.45
1950-11,81.78
1950-12,79.45
1951-01,76.84
1951-02,72.69
1951-03,73.31
1951-04,71.74
1951-05,64.27
1951-06,55.71
1951-07,59.83
1951-08,66.17
1951-09,71.38
1951-10,77.84
1951-11,77.88
1951-12,78.67
1952-01,77.4
1952-02,66.73
1952-03,73
1952-04,69.85
1952-05,64.22
1952-06,72.22
1952-07,64.64
1952-08,71.84
1952-09,75.73
1952-10,74.7
1952-11,75.32
1952-12,81.01
1953-01,73.99
1953-02,65.1
1953-03,75.69
1953-04,77.47
1953-05,85.84
1953-06,89.84
1953-07,80.53
1953-08,87.12
1953-09,86.68
1953-10,93.66
1953-11,91.55
1953-12,86.61
1954-01,89.89
1954-02,80.13
1954-03,73.99
1954-04,69.5
1954-05,90.27
1954-06,82.57
1954-07,80.37
1954-08,83.45
1954-09,83.13
1954-10,92.47
1954-11,97.07
1954-12,93.9
1955-01,90.99
1955-02,77.52
1955-03,86.95
1955-04,109.13
1955-05,103.65
1955-06,109.75
1955-07,110.25
1955-08,107.59
1955-09,103.5
1955-10,115.16
1955-11,97.86
1955-12,87.65
1956-01,83.97
1956-02,74.02
1956-03,77.01
1956-04,74.54
1956-05,93.9
1956-06,83.92
1956-07,79.09
1956-08,77.59
1956-09,79.39
1956-10,92.79
1956-11,92.03
1956-12,91.92
1957-01,82.42
1957-02,77.49
1957-03,91.54
1957-04,80.3
1957-05,95.91
1957-06,90.8
1957-07,92.46
1957-08,90.25
1957-09,90.58
1957-10,99.87
1957-11,102.06
1957-12,93.45
1958-01,79.19
1958-02,80.65
1958-03,91.97
1958-04,89.91
1958-05,93.98
1958-06,95.14
1958-07,82.88
1958-08,107.12
1958-09,115.08
1958-10,117.13
1958-11,124.46
1958-12,122.79
1959-01,115.55
1959-02,106.41
1959-03,132.93
1959-04,120.24
1959-05,107.2
1959-06,109.97
1959-07,106.86
1959-08,116.11
1959-09,119.69
1959-10,120.43
1959-11,128.39
1959-12,122.48
1960-01,113.13
1960-02,109.35
1960-03,107.59
1960-04,112.54
1960-05,109.17
1960-06,95.92
1960-07,114.53
1960-08,111.83
1960-09,113.36
1960-10,123.96
1960-11,123.47
1960-12,124.58
1961-01,113.65
1961-02,95.87
1961-03,100.02
1961-04,131.62
1961-05,106.44
1961-06,102.91
1961-07,112.5
1961-08,110.47
1961-09,117.69
1961-10,121.4
1961-11,119.52
1961-12,123.06
1962-01,109.85
1962-02,94.07
1962-03,124.66
1962-04,101.02
1962-05,102.78
1962-06,102.38
1962-07,110.99
1962-08,105.05
1962-09,109.98
1962-10,117.34
1962-11,118.53
1962-12,128.84
1963-01,94.29
1963-02,88.54
1963-03,113.61
1963-04,129.35
1963-05,97.76
1963-06,97.27
1963-07,100.76
1963-08,107.58
1963-09,114.39
1963-10,123.33
1963-11,126.08
1963-12,132.26
1964-01,95.26
1964-02,93.55
1964-03,134.62
1964-04,117.45
1964-05,115.11
1964-06,99.17
1964-07,101.1
,
,
,
,
,
